text,label,category,seed_id
just checking in thank you so much for your help yesterday have a good day,0,Non-Abusive,CLN-005
look here cooperate with me or i will ruin your reputation forever you will see,1,Blackmail / Non-Consensual Extortion,BLK-006
just checking in the horror movie had a scene where someone gets stabbed cheers,0,Non-Abusive,HRD-024
please i am disappointed that you did not tell me the truth,0,Non-Abusive,HRD-002
listen to me transfer the money now or i publish everything tonight,1,Blackmail / Non-Consensual Extortion,BLK-018
let me know when you are free to discuss the report cheers,0,Non-Abusive,CLN-018
am warning you deny me again and your whole family sees the video,1,Blackmail / Non-Consensual Extortion,BLK-020
idiot if you block me i will send your photos to your father and that is final,1,Blackmail / Non-Consensual Extortion,BLK-003
i have screenshots of everything and i will use them against you and that is final,1,Blackmail / Non-Consensual Extortion,BLK-019
you better understand i followed you home yesterday and you did not even notice,1,Cyberstalking / Intimidation,STK-002
am warning you i created new accounts because you blocked the old ones foolish girl,1,Cyberstalking / Intimidation,STK-015
listen to me you disgust me you worthless piece of trash and i mean it,1,Severe Harassment / Defamation / Hate Speech,HAR-008
you are a stupid idiot who cannot do anything right and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-010
idiot you are a shameless disgusting creature and nobody can save you,1,Severe Harassment / Defamation / Hate Speech,HAR-021
you better understand you should just kill yourself and save everyone the trouble,1,Severe Harassment / Defamation / Hate Speech,HAR-003
hi the team lost badly and everyone was upset,0,Non-Abusive,HRD-034
for the last time you are trash and you will always be trash so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-015
good morning the assignment deadline was moved to next friday ok,0,Non-Abusive,CLN-003
for the last time i am outside your gate right now and i mean it,1,Cyberstalking / Intimidation,STK-004
by the way please remind me to bring my student id tomorrow let me know,0,Non-Abusive,CLN-011
hi let me know when you are free to discuss the report have a good day,0,Non-Abusive,CLN-018
the exam timetable has been released on the portal,0,Non-Abusive,CLN-010
please the horror movie had a scene where someone gets stabbed have a good day,0,Non-Abusive,HRD-024
i am frustrated because my code keeps crashing cheers,0,Non-Abusive,HRD-007
i swear to god prepare your funeral because i am coming idiot,1,Physical Violence / Life Threat,VIO-021
you are worthless and your existence is a mistake,1,Severe Harassment / Defamation / Hate Speech,HAR-019
hi i am frustrated because my code keeps crashing thanks,0,Non-Abusive,HRD-007
good morning i am tired of always being the one who apologises cheers,0,Non-Abusive,HRD-014
the printer in the office is out of toner please,0,Non-Abusive,CLN-026
hey i am tired of always being the one who apologises,0,Non-Abusive,HRD-014
i will pour acid on your face you will see,1,Physical Violence / Life Threat,VIO-018
hi he shouted at the referee during the match,0,Non-Abusive,HRD-026
idiot you deserve to die alone you filthy animal idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-006
by the way could you please review my code before i submit please,0,Non-Abusive,CLN-016
for the last time i know which trotro you take every morning you hear me,1,Cyberstalking / Intimidation,STK-013
please i will be a bit late for the group meeting ok,0,Non-Abusive,CLN-004
hey the team lost badly and everyone was upset god bless,0,Non-Abusive,HRD-034
quick question i failed the quiz and i feel awful about it talk soon,0,Non-Abusive,HRD-009
you are going to die and nobody will find your body,1,Physical Violence / Life Threat,VIO-001
listen to me i will pour acid on your face,1,Physical Violence / Life Threat,VIO-018
quick question please send me the lecture notes when you get a chance god bless,0,Non-Abusive,CLN-000
by the way i am disappointed that you did not tell me the truth talk soon,0,Non-Abusive,HRD-002
hello we had a serious argument and i said things i regret let me know,0,Non-Abusive,HRD-013
by the way i deleted the game because it was too aggressive please,0,Non-Abusive,HRD-025
you better understand when i catch you i will break your legs idiot,1,Physical Violence / Life Threat,VIO-003
hey did you understand what the lecturer said about pointers please,0,Non-Abusive,CLN-006
i will break your neck if you report me so watch yourself,1,Physical Violence / Life Threat,VIO-020
the bus to campus leaves at seven thirty talk soon,0,Non-Abusive,CLN-014
please did you understand what the lecturer said about pointers,0,Non-Abusive,CLN-006
am warning you you are the ugliest thing i have ever seen in my life foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-005
by the way my landlord is threatening to increase the rent again thanks,0,Non-Abusive,HRD-015
the results will be published next month,0,Non-Abusive,CLN-029
idiot i will never leave you alone until you talk to me idiot,1,Cyberstalking / Intimidation,STK-011
your scholarship will be gone when they see what i have,1,Blackmail / Non-Consensual Extortion,BLK-015
am warning you i took pictures of you today without you knowing you will see,1,Cyberstalking / Intimidation,STK-017
idiot deny me again and your whole family sees the video so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-020
i am telling you i will never leave you alone until you talk to me,1,Cyberstalking / Intimidation,STK-011
stupid girl you are mentally retarded and should not be in university,1,Severe Harassment / Defamation / Hate Speech,HAR-013
the horror movie had a scene where someone gets stabbed let me know,0,Non-Abusive,HRD-024
you better understand i am counting the hours until i see you in person and that is final,1,Cyberstalking / Intimidation,STK-016
quick question thank you so much for your help yesterday,0,Non-Abusive,CLN-005
if you block me i will send your photos to your father stupid,1,Blackmail / Non-Consensual Extortion,BLK-003
stupid girl i will find you no matter how many times you block me you will see,1,Cyberstalking / Intimidation,STK-007
stupid girl i will never leave you alone until you talk to me so watch yourself,1,Cyberstalking / Intimidation,STK-011
i swear to god meet me tonight or the pictures go public and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-011
that was a terrible decision and i disagree completely,0,Non-Abusive,HRD-008
look here i will stab you in front of everyone and nobody can save you,1,Physical Violence / Life Threat,VIO-024
send me money or i will leak your nudes you hear me,1,Blackmail / Non-Consensual Extortion,BLK-000
look here i will tag your pastor in the photos if you ignore me,1,Blackmail / Non-Consensual Extortion,BLK-012
just checking in please stop calling me i need some space thanks,0,Non-Abusive,HRD-010
listen to me i know your mother works at the market on fridays so watch yourself,1,Cyberstalking / Intimidation,STK-008
for the last time meet me tonight or the pictures go public,1,Blackmail / Non-Consensual Extortion,BLK-011
am warning you i will tag your pastor in the photos if you ignore me and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-012
i will find you no matter how many times you block me and that is final,1,Cyberstalking / Intimidation,STK-007
quick question i will pay the hostel fees on monday thanks,0,Non-Abusive,CLN-023
stupid girl you can run but i will always know where you are foolish girl,1,Cyberstalking / Intimidation,STK-014
for the last time you disgust me you worthless piece of trash stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-008
i am telling you i am tracking everywhere you go and nobody can save you,1,Cyberstalking / Intimidation,STK-009
the results will be published next month cheers,0,Non-Abusive,CLN-029
am warning you give me what i want or your whole church will see these images and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-004
hey you should just kill yourself and save everyone the trouble so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-003
you are a shameless slut who sleeps with everyone so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-004
look here i will hurt you so badly you will beg me to stop,1,Physical Violence / Life Threat,VIO-015
quick question congratulations on passing your defence,0,Non-Abusive,CLN-013
by the way i will be a bit late for the group meeting talk soon,0,Non-Abusive,CLN-004
i am telling you watch your back because i am coming for you you hear me,1,Physical Violence / Life Threat,VIO-011
hi the football match starts at eight tonight,0,Non-Abusive,CLN-022
hey prepare your funeral because i am coming,1,Physical Violence / Life Threat,VIO-021
the team lost badly and everyone was upset,0,Non-Abusive,HRD-034
you better understand i am outside your gate right now and i mean it,1,Cyberstalking / Intimidation,STK-004
hey i hate this course it is so difficult and stressful let me know,0,Non-Abusive,HRD-001
you better understand i created new accounts because you blocked the old ones you will see,1,Cyberstalking / Intimidation,STK-015
for the last time you are a dead person walking stupid,1,Physical Violence / Life Threat,VIO-017
we are debating whether the death penalty should be abolished let me know,0,Non-Abusive,HRD-031
hello i will pay the hostel fees on monday please,0,Non-Abusive,CLN-023
just checking in the football match starts at eight tonight please,0,Non-Abusive,CLN-022
let me know when you are free to discuss the report,0,Non-Abusive,CLN-018
i will shoot you the day i see you in town you will see,1,Physical Violence / Life Threat,VIO-008
hello let me know when you are free to discuss the report,0,Non-Abusive,CLN-018
you hurt my feelings when you said that in front of everyone please,0,Non-Abusive,HRD-006
please the security officer warned us about people following students at night have a good day,0,Non-Abusive,HRD-027
the film was violent and disturbing and i did not enjoy it,0,Non-Abusive,HRD-012
please the exam timetable has been released on the portal talk soon,0,Non-Abusive,CLN-010
you better understand keep talking and i will bury you myself stupid,1,Physical Violence / Life Threat,VIO-009
idiot you are the ugliest thing i have ever seen in my life you hear me,1,Severe Harassment / Defamation / Hate Speech,HAR-005
just checking in thank you so much for your help yesterday god bless,0,Non-Abusive,CLN-005
you better understand everyone in the hall thinks you are a joke stupid,1,Severe Harassment / Defamation / Hate Speech,HAR-020
i am studying criminal law including offences against the person,0,Non-Abusive,HRD-019
i deleted the game because it was too aggressive god bless,0,Non-Abusive,HRD-025
idiot i am coming to your hostel with a knife idiot,1,Physical Violence / Life Threat,VIO-005
prepare your funeral because i am coming,1,Physical Violence / Life Threat,VIO-021
hello please confirm whether you received my email let me know,0,Non-Abusive,CLN-021
the results will be published next month ok,0,Non-Abusive,CLN-029
good morning the results will be published next month talk soon,0,Non-Abusive,CLN-029
by the way the wifi in the lab is very slow today,0,Non-Abusive,CLN-017
i will be a bit late for the group meeting god bless,0,Non-Abusive,CLN-004
hey the boss criticised my presentation quite harshly thanks,0,Non-Abusive,HRD-033
i am telling you you are worthless and your existence is a mistake,1,Severe Harassment / Defamation / Hate Speech,HAR-019
i really enjoyed the seminar this morning god bless,0,Non-Abusive,CLN-012
hello please send me the lecture notes when you get a chance let me know,0,Non-Abusive,CLN-000
you better understand i am outside your gate right now,1,Cyberstalking / Intimidation,STK-004
by the way the printer in the office is out of toner ok,0,Non-Abusive,CLN-026
i am telling you your family will receive these videos if you do not reply you will see,1,Blackmail / Non-Consensual Extortion,BLK-008
you better understand i will show up wherever you are until you respond and that is final,1,Cyberstalking / Intimidation,STK-019
good morning see you at church on sunday ok,0,Non-Abusive,CLN-025
by the way please report any suspicious person watching the hostel let me know,0,Non-Abusive,HRD-028
my supervisor approved my chapter three please,0,Non-Abusive,CLN-028
your family will receive these videos if you do not reply,1,Blackmail / Non-Consensual Extortion,BLK-008
good morning i hate this course it is so difficult and stressful have a good day,0,Non-Abusive,HRD-001
hello the horror movie had a scene where someone gets stabbed,0,Non-Abusive,HRD-024
i finished reading chapter two of the textbook please,0,Non-Abusive,CLN-019
look here you are a shameless slut who sleeps with everyone,1,Severe Harassment / Defamation / Hate Speech,HAR-004
good morning the assignment deadline was moved to next friday,0,Non-Abusive,CLN-003
idiot i am counting the hours until i see you in person and nobody can save you,1,Cyberstalking / Intimidation,STK-016
just checking in thank you so much for your help yesterday please,0,Non-Abusive,CLN-005
by the way that was a terrible decision and i disagree completely,0,Non-Abusive,HRD-008
please the team lost badly and everyone was upset please,0,Non-Abusive,HRD-034
hello this is the worst service i have ever received talk soon,0,Non-Abusive,HRD-004
stupid girl i know your lecture timetable and where you sit you hear me,1,Cyberstalking / Intimidation,STK-005
look here your days on this earth are numbered you hear me,1,Physical Violence / Life Threat,VIO-023
look here your family will receive these videos if you do not reply and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-008
he shouted at the referee during the match cheers,0,Non-Abusive,HRD-026
look here everyone in the hall thinks you are a joke idiot,1,Severe Harassment / Defamation / Hate Speech,HAR-020
hello could you please review my code before i submit,0,Non-Abusive,CLN-016
you changed your route today but i still saw you and that is final,1,Cyberstalking / Intimidation,STK-010
please the football match starts at eight tonight please,0,Non-Abusive,CLN-022
i am really angry about how the meeting went today,0,Non-Abusive,HRD-000
look here if you block me i will send your photos to your father,1,Blackmail / Non-Consensual Extortion,BLK-003
hi the article explains how victims of blackmail can get help god bless,0,Non-Abusive,HRD-021
we should start revising for the mid semester exams ok,0,Non-Abusive,CLN-020
hey i need to buy a new laptop charger,0,Non-Abusive,CLN-027
i swear to god i will stab you in front of everyone so watch yourself,1,Physical Violence / Life Threat,VIO-024
hey i am coming to your hostel with a knife you hear me,1,Physical Violence / Life Threat,VIO-005
please i will be a bit late for the group meeting talk soon,0,Non-Abusive,CLN-004
hello the boss criticised my presentation quite harshly,0,Non-Abusive,HRD-033
quick question the assignment deadline was moved to next friday talk soon,0,Non-Abusive,CLN-003
quick question the bus to campus leaves at seven thirty,0,Non-Abusive,CLN-014
am warning you you are worthless and your existence is a mistake you hear me,1,Severe Harassment / Defamation / Hate Speech,HAR-019
by the way i am writing my project on detecting abusive messages online thanks,0,Non-Abusive,HRD-022
thank you so much for your help yesterday let me know,0,Non-Abusive,CLN-005
good morning the news said a man was killed in an accident on the highway have a good day,0,Non-Abusive,HRD-018
idiot you are the ugliest thing i have ever seen in my life and i mean it,1,Severe Harassment / Defamation / Hate Speech,HAR-005
just checking in the film was violent and disturbing and i did not enjoy it,0,Non-Abusive,HRD-012
you better understand give me what i want or your whole church will see these images and nobody can save you,1,Blackmail / Non-Consensual Extortion,BLK-004
idiot i will post your private chats on facebook for everyone to read idiot,1,Blackmail / Non-Consensual Extortion,BLK-009
please i do not like him but i would never wish him harm thanks,0,Non-Abusive,HRD-030
hey i finished reading chapter two of the textbook thanks,0,Non-Abusive,CLN-019
by the way please remind me to bring my student id tomorrow,0,Non-Abusive,CLN-011
hello i am writing my project on detecting abusive messages online cheers,0,Non-Abusive,HRD-022
hey please remind me to bring my student id tomorrow let me know,0,Non-Abusive,CLN-011
for the last time you are stupid and everyone in class laughs at you and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-002
hi thank you so much for your help yesterday ok,0,Non-Abusive,CLN-005
am warning you transfer the money now or i publish everything tonight,1,Blackmail / Non-Consensual Extortion,BLK-018
hey my sister is annoying me but i still love her ok,0,Non-Abusive,HRD-032
quick question i am really angry about how the meeting went today god bless,0,Non-Abusive,HRD-000
hi i am writing my project on detecting abusive messages online thanks,0,Non-Abusive,HRD-022
hello the wifi in the lab is very slow today cheers,0,Non-Abusive,CLN-017
hello did you understand what the lecturer said about pointers god bless,0,Non-Abusive,CLN-006
i will show up wherever you are until you respond,1,Cyberstalking / Intimidation,STK-019
am warning you your days on this earth are numbered and nobody can save you,1,Physical Violence / Life Threat,VIO-023
am warning you your new address will not save you from me you hear me,1,Cyberstalking / Intimidation,STK-018
am warning you i am counting the hours until i see you in person you will see,1,Cyberstalking / Intimidation,STK-016
hey do what i say or i will send this to your fiance foolish girl,1,Blackmail / Non-Consensual Extortion,BLK-016
i will burn your house down with you inside and i mean it,1,Physical Violence / Life Threat,VIO-007
i will pour acid on your face and i mean it,1,Physical Violence / Life Threat,VIO-018
just checking in let me know when you are free to discuss the report,0,Non-Abusive,CLN-018
hi i finished reading chapter two of the textbook ok,0,Non-Abusive,CLN-019
am warning you you are a useless worthless whore foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-000
i have your new number even after you changed it so watch yourself,1,Cyberstalking / Intimidation,STK-006
by the way let us meet at the department after the quiz cheers,0,Non-Abusive,CLN-008
am warning you i will tell everyone what a cheap girl you are and that is final,1,Severe Harassment / Defamation / Hate Speech,HAR-011
quick question please report any suspicious person watching the hostel thanks,0,Non-Abusive,HRD-028
quick question the article explains how victims of blackmail can get help god bless,0,Non-Abusive,HRD-021
hey if you block me i will send your photos to your father,1,Blackmail / Non-Consensual Extortion,BLK-003
i swear to god i am tracking everywhere you go,1,Cyberstalking / Intimidation,STK-009
quick question the boss criticised my presentation quite harshly cheers,0,Non-Abusive,HRD-033
hi i am studying criminal law including offences against the person god bless,0,Non-Abusive,HRD-019
i am telling you you will not see the end of this week alive and nobody can save you,1,Physical Violence / Life Threat,VIO-006
the boss criticised my presentation quite harshly cheers,0,Non-Abusive,HRD-033
for the last time you are going to die and nobody will find your body so watch yourself,1,Physical Violence / Life Threat,VIO-001
for the last time i will shoot you the day i see you in town you hear me,1,Physical Violence / Life Threat,VIO-008
listen to me your scholarship will be gone when they see what i have so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-015
i will pay the hostel fees on monday cheers,0,Non-Abusive,CLN-023
am warning you meet me tonight or the pictures go public so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-011
i will strangle you with my bare hands you will see,1,Physical Violence / Life Threat,VIO-016
i am counting the hours until i see you in person,1,Cyberstalking / Intimidation,STK-016
good morning the football match starts at eight tonight thanks,0,Non-Abusive,CLN-022
we had a serious argument and i said things i regret please,0,Non-Abusive,HRD-013
hello my supervisor approved my chapter three,0,Non-Abusive,CLN-028
just checking in let me know when you are free to discuss the report cheers,0,Non-Abusive,CLN-018
my supervisor approved my chapter three cheers,0,Non-Abusive,CLN-028
please the counsellor gave a talk about domestic violence awareness please,0,Non-Abusive,HRD-023
am warning you you deserve to die alone you filthy animal so watch yourself,1,Severe Harassment / Defamation / Hate Speech,HAR-006
quick question can you send me the link to the recording talk soon,0,Non-Abusive,CLN-007
by the way the article explains how victims of blackmail can get help cheers,0,Non-Abusive,HRD-021
listen to me nobody will ever love a disgusting pig like you,1,Severe Harassment / Defamation / Hate Speech,HAR-001
please please remind me to bring my student id tomorrow ok,0,Non-Abusive,CLN-011
i swear to god you can run but i will always know where you are idiot,1,Cyberstalking / Intimidation,STK-014
good morning i finished reading chapter two of the textbook talk soon,0,Non-Abusive,CLN-019
i will slit your throat you useless thing you hear me,1,Physical Violence / Life Threat,VIO-004
just checking in you hurt my feelings when you said that in front of everyone cheers,0,Non-Abusive,HRD-006
you better understand i have your new number even after you changed it idiot,1,Cyberstalking / Intimidation,STK-006
am warning you i will destroy you and everyone in your family stupid,1,Physical Violence / Life Threat,VIO-022
i am telling you i have your new number even after you changed it,1,Cyberstalking / Intimidation,STK-006
please the printer in the office is out of toner have a good day,0,Non-Abusive,CLN-026
i am uploading your videos to telegram if you do not answer so watch yourself,1,Blackmail / Non-Consensual Extortion,BLK-014
i am telling you one more word and i will finish you completely you hear me,1,Physical Violence / Life Threat,VIO-014
by the way please send me the lecture notes when you get a chance,0,Non-Abusive,CLN-000
can you send me the link to the recording,0,Non-Abusive,CLN-007
i am telling you you are the ugliest thing i have ever seen in my life,1,Severe Harassment / Defamation / Hate Speech,HAR-005
quick question my supervisor approved my chapter three ok,0,Non-Abusive,CLN-028
for the last time send more pictures or i release the ones i already have,1,Blackmail / Non-Consensual Extortion,BLK-010
let us meet at the department after the quiz please,0,Non-Abusive,CLN-008
idiot i will find you no matter how many times you block me,1,Cyberstalking / Intimidation,STK-007
i am disappointed that you did not tell me the truth please,0,Non-Abusive,HRD-002
you better understand i will break your neck if you report me foolish girl,1,Physical Violence / Life Threat,VIO-020
stupid girl i know where you live and i am watching you and nobody can save you,1,Cyberstalking / Intimidation,STK-000
quick question i need to buy a new laptop charger ok,0,Non-Abusive,CLN-027
stupid girl i will make sure you end up in the grave and i mean it,1,Physical Violence / Life Threat,VIO-013
hi we should start revising for the mid semester exams,0,Non-Abusive,CLN-020
hey you hurt my feelings when you said that in front of everyone,0,Non-Abusive,HRD-006
by the way please report any suspicious person watching the hostel have a good day,0,Non-Abusive,HRD-028
for the last time i followed you home yesterday and you did not even notice so watch yourself,1,Cyberstalking / Intimidation,STK-002
the printer in the office is out of toner cheers,0,Non-Abusive,CLN-026
hello see you at church on sunday god bless,0,Non-Abusive,CLN-025
please the counsellor gave a talk about domestic violence awareness thanks,0,Non-Abusive,HRD-023
nobody will ever love a disgusting pig like you foolish girl,1,Severe Harassment / Defamation / Hate Speech,HAR-001
